Faction,Title,Subtitle,Fighting,Power,Body,Requires,Provides,Text,Tag,Artist,Set,Rarity
Ascended,Church Archivist,Sworn Bureaucrat,4,,,{asc}{asc}3,{asc},Pay 1 Power and target an undamaged Feng Shui Site :: Turn target face down and remove any non-damage counters from the card. Reveal a Feng Shui Site you control and target a {mag} card in play :: Cancel target until the end of the turn.,,Mario Teodosio,Knight's Passage,Fixed
Ascended,Death Shadow,Mercenary Agent,6,,,{asc}{asc}{asc}4,{chi},"Unique. Reduce to 0 all combat damage inflicted on this card by intercepting Characters. Once per turn, when this card smokes the target of its attack, take control of an opponent's Character with a printed Fighting of 1.",,Lorraine Schleter,Knight's Passage,Fixed
Ascended,Academy Instructor,Federal Police Agent,2,,,{asc}2,{asc},"Stealth. At the end of your turn, place a counter on this card. Remove two counters from this card :: Put an "Agent" Character token into play. It has a printed Fighting of 2, Stealth, and a printed cost of {asc}2.",,ClickArt Studios,Knight's Passage,Fixed
Ascended,Elle Mactans,Lodge Agent,7,,,{asc}{asc}{asc}5,{asc}{chi},"Unique. Stealth. When this card uses Stealth, gain 1 Power. Reduce to 0 any damage inflicted on this card by a {mag} or {tec} card.",,Ikaan Studios,Knight's Passage,Fixed
Ascended,Fealty to the Wheel,Edge,,,,{asc}{asc}{asc}1,,"Limited. Once during your Main Shot, you may discard a card from your hand :: Put a "Sworn" Character token into play. It has a printed Fighting of 1 and a printed cost of {asc}1. When this card leaves play, toast all "Sworn" Character tokens.",,Matteo Ascente,Knight's Passage,Fixed
Ascended,Advance Notice,Event,,,,{asc}0,,"Limited. Draw 2 cards. You may then pay 1 Power to draw an additional 3 cards. Whether you pay the additional power or not, place 2 cards from your hand on the bottom of your deck in any order after drawing.","""I'm telling you - it's a monkey with a gun!""",Erick Rabang,Knight's Passage,Fixed
Dragons,Techie Apprentices,Armory Students,1,,,1,{dra}{tec},"Cannot turn to attack. When this card is smoked by an opponent, you may play a card that requires {tec} at -1 cost, regardless of type.","""Make a phased plasma rifle in the 40-watt range.""",Erick Rabang,Knight's Passage,Fixed
Dragons,Quartermaster,Techie Armorer,2,,,{dra}2,{dra}{tec},"Once per turn, when you play a State on a Cop, Agent or Techie Character, you may draw a card. While all opponents are closer to victory than you, Characters you control gain +1 Fighting.",,David Still,Knight's Passage,Fixed
Dragons,Iron Fists McQueen,Reluctant Warrior,4,,,{dra}{dra}3,{dra},"Unique. Unstoppable. When this card enters combat, you may choose to have it cease attacking :: Inflict X non-combat damage on all opponent's Characters at this location. X = half of this card's Fighting, rounded down.",,Ikaan Studios,Knight's Passage,Fixed
Dragons,"Hong Rui ""Edie"" Tso",Police Detective,8,,,{dra}{dra}{dra}5,{dra},"Unique. Guts. Mobility. Once per turn when this card is about to enter combat with a Character, you may cancel that Character until the end of the combat.",,Angelmarthy Studio,Knight's Passage,Fixed
Dragons,Iron Fists,State,,,,{dra}{han}0,,Unique. Schtick. Play on a Character. Subject gains +1 Fighting and Toughness: 1. Turn and pay 1 Power :: Subject gains +2 Fighting until the end of the turn.,"When you forge a weapon, you need three things: the right metal, heat, and an enemy.","Freddy Lopez, Jr.",Knight's Passage,Fixed
Dragons,Thunder on Thunder,Event,,,,{dra}{dra}1,,Toast all Edges.,"When the storms pass, the wicked are gone, but the righteous remain.",Emily Goodsell,Knight's Passage,Fixed
Dragons,Spirit of the Underdog,State,,,,{dra}{dra}0,,"Play on a Character during any Main Shot. While in combat with one or more Characters, subject inflicts +X combat damage. X = the number of resources required and provided by the Characters with which subject is in combat.","""Either I win or lose, so the odds are 50/50, right?""",Polina Smirnova,Knight's Passage,Fixed
Dragons,The Ice Prince's Gambit,Event,,,,{dra}{mon}0,{dra}{mon},Limited. Play when an attack you declared ends and the defending player is closer to victory than you. Target a Character you control that participated in that attack :: Heal and unturn target.,"""We're not done yet.""",Widodo Pangarso,Knight's Passage,Fixed
Lotus,Arcane Esotericist,Sinister Fire Advisor,2,,,2,{lot}{mag},"If this card is in your hand and you have {lot} in your resource pool, when an opponent's effect would damage or smoke a Character you control, you may discard this card and target a Character controlled by that opponent :: Inflict 3 Unstoppable non-combat damage on target. This effect is Not Cumulative.",,I Made Marthana Yusa,Knight's Passage,Fixed
Lotus,Petal of Despair,Wrathful Ghost,2,,,{lot}{mag}2,{lot},"Corrupted. While playing this card, you may spend 1 additional Power to give it +2 Fighting until it leaves play, or 2 additional Power for +4 Fighting.",,Melissa Benson,Knight's Passage,Fixed
Lotus,Devourer of Souls,"Hungry, Hungry Horror",6,,,{lot}{lot}4,{lot},"Once per turn, you may toast a Character in your smoked pile :: Heal this card.",Your corporeal body is just the entrÄe.,Dion Harris,Knight's Passage,Fixed
Lotus,Shapo,Ovine Demon,8,,,{lot}{lot}{mag}{mag}5,{lot},"Unique. Regenerate. At the start of each player's turn, inflict 2 non-combat damage on each damaged Character controlled by that player.",The doom sheep from hell.,Wes Jones,Knight's Passage,Fixed
Lotus,Gao Liang,Hood Bruiser,7,,,{lot}{lot}{lot}5,{lot}{asc},"Unique. Assassinate. You may substitute {asc} for each resource condition of this card. When this card is smoked, inflict X non-combat damage on each Character and Site in play. X = the amount of damage, respectively, already on each card.",,Ikaan Studios,Knight's Passage,Fixed
Lotus,Crown of Thorns,State,,,,{lot}{lot}3,,"Play on a Character. Subject gains +2 Fighting and Assassinate. When this card is played, put 2 "Thorn" Character tokens into play. They have a printed Fighting of 2, Assassinate, and a printed cost of {lot}2.",,Josh Hunter,Knight's Passage,Fixed
Lotus,Fractured Soul,Darkness Event,,,,{lot}{mon}{mag}{mag}0,,Target a Character :: Smoke target. Target's controller puts X "Spirit" Character tokens into play. They have a printed Fighting of 1 and a printed cost of {mon}1. X = target's cost.,"A broken spirit haunts the world in search of its fragments, always striving for completeness.",Ikaan Studios,Knight's Passage,Fixed
Monarchs,Auramancer,Netherworld Sorcerer,2,,,2,{mon}{mag},"When an opponent's effect causes one or more cards to be removed from a smoked pile, gain 1 Power and this card gains +1 Fighting until it leaves play.",,Ikaan Studios,Knight's Passage,Fixed
Monarchs,Sparabara,Fire Warriors,2,,,{mon}2,{mon},"When this Character is smoked by an opponent, you may toast it. If you do, put a "Warrior" Character token into play. It has a printed Fighting of 2, Ambush, and a printed cost of {mon}2.",,Ikaan Studios,Knight's Passage,Fixed
Monarchs,Wayfarer,Ice Nomad,4,,,{mon}3,{mon}{mag},Mobility. Target a Character you control when this card is declared as an interceptor :: Heal target.,"When the queen calls, they answer",Mario Teodosio,Knight's Passage,Fixed
Monarchs,Pi Tui,Matron of Silver and Ice,11,,,{mon}{mon}{mon}6,{mon}{mag}{mag},"Unique. Ice cards you own gain Immunity to opponents' States. Opponents cannot cancel your effects or change their targets. When an opponent's card is healed by an effect generated by an opponent, gain 1 Power (this includes turning to heal).",,"Freddy Lopez, Jr.",Knight's Passage,Fixed
Monarchs,Tomb of the Sacred Vigil,Netherworld Feng Shui Site,,1,7,{mon}{mon}{mon}3,{mon},"Unique. Character tokens you control gain Loyalty and +1 combat damage. When an opponent succesfully attacks a Feng Shui Site you control, put a "Warrior" Character token into play. It has a printed fighting of 2, Ambush, and a printed cost of {mon}2.",,Diego Candia,Knight's Passage,Fixed
Monarchs,The Warrior's Calm,Event,,,,{mon}{mon}0,,"Turn any number of Characters you control :: Gain X Power. X = half the number of Characters turned, rounded down.","""Tomorrow, we fight, and many may die. But tonight, we feast among friends.""",Ikaan Studios,Knight's Passage,Fixed
Monarchs,Song of Silver and Ice,Spell Event,,,,{mon}{mon}{mag}0,,"Play during your Main Shot. Characters you control gain +1 Fighting until the end of the turn. If you have {dra} in your resource pool, Characters you control also gain Toughness: 1 until the end of the turn.",,Matteo Ascente,Knight's Passage,Fixed
Monarchs,Lessons of the Fallen,Edge,,,,{mon}0,,"When a Character you control is smoked, draw a card.","""The dead have things to say, if you will lend them an ear.""",Lorraine Schleter,Knight's Passage,Fixed
